sample_index,s1_x_g,s1_y_g,s1_z_g,s1_x_v,s1_y_v,s1_z_v,s2_x_g,s2_y_g,s2_z_g,s2_x_v,s2_y_v,s2_z_v
34,0.9978,0.0000,-0.0777,1.9494,1.6500,1.6267,0.9896,0.0000,0.3257,1.9469,1.6500,1.7477
35,0.9914,0.0000,-0.0738,1.9474,1.6500,1.6278,1.0073,0.0000,0.3505,1.9522,1.6500,1.7551
36,1.0104,0.0000,-0.0597,1.9531,1.6500,1.6321,1.0170,0.0000,0.3343,1.9551,1.6500,1.7503
37,0.9990,0.0000,-0.0486,1.9497,1.6500,1.6354,1.0008,0.0000,0.3533,1.9502,1.6500,1.7560
38,1.0049,0.0000,-0.0681,1.9515,1.6500,1.6296,0.9878,0.0000,0.3378,1.9463,1.6500,1.7513
39,1.0116,0.0000,-0.0462,1.9535,1.6500,1.6361,0.9917,0.0000,0.3257,1.9475,1.6500,1.7477
40,1.0054,0.0000,-0.0464,1.9516,1.6500,1.6361,0.9834,0.0000,0.3509,1.9450,1.6500,1.7553
41,0.9997,0.0000,-0.0721,1.9499,1.6500,1.6284,0.9935,0.0000,0.3278,1.9480,1.6500,1.7483
42,0.9915,0.0000,-0.0430,1.9475,1.6500,1.6371,1.0040,0.0000,0.3429,1.9512,1.6500,1.7529
43,1.0103,0.0000,-0.0493,1.9531,1.6500,1.6352,0.9968,0.0000,0.3259,1.9491,1.6500,1.7478
44,0.9830,0.0000,-0.0491,1.9449,1.6500,1.6353,1.0058,0.0000,0.3498,1.9517,1.6500,1.7549
45,1.0152,0.0000,-0.0699,1.9546,1.6500,1.6290,0.9880,0.0000,0.3329,1.9464,1.6500,1.7499
46,0.9847,0.0000,-0.0551,1.9454,1.6500,1.6335,0.9885,0.0000,0.3428,1.9466,1.6500,1.7528
47,0.9884,0.0000,-0.0576,1.9465,1.6500,1.6327,0.9928,0.0000,0.3234,1.9478,1.6500,1.7470
48,0.9965,0.0000,-0.0728,1.9490,1.6500,1.6282,1.0099,0.0000,0.3339,1.9530,1.6500,1.7502
49,1.0148,0.0000,-0.0588,1.9544,1.6500,1.6323,0.9834,0.0000,0.3494,1.9450,1.6500,1.7548
50,1.0125,0.0000,-0.0491,1.9538,1.6500,1.6353,0.9870,0.0000,0.3413,1.9461,1.6500,1.7524
51,0.9916,0.0000,-0.0548,1.9475,1.6500,1.6336,1.0030,0.0000,0.3223,1.9509,1.6500,1.7467
52,1.0008,0.0000,-0.0549,1.9502,1.6500,1.6335,1.0017,0.0000,0.3295,1.9505,1.6500,1.7489
53,0.9984,0.0000,-0.0458,1.9495,1.6500,1.6363,1.0027,0.0000,0.3500,1.9508,1.6500,1.7550
54,0.9888,0.0000,-0.0733,1.9466,1.6500,1.6280,0.9959,0.0000,0.3278,1.9488,1.6500,1.7483
55,0.9868,0.0000,-0.0732,1.9460,1.6500,1.6280,0.9857,0.0000,0.3368,1.9457,1.6500,1.7510
56,0.9898,0.0000,-0.0641,1.9469,1.6500,1.6308,0.9842,0.0000,0.3259,1.9453,1.6500,1.7478
57,1.0163,0.0000,-0.0466,1.9549,1.6500,1.6360,1.0104,0.0000,0.3249,1.9531,1.6500,1.7475
58,0.9980,0.0000,-0.0422,1.9494,1.6500,1.6373,1.0039,0.0000,0.3297,1.9512,1.6500,1.7489
59,1.0081,0.0000,-0.0501,1.9524,1.6500,1.6350,0.9984,0.0000,0.3364,1.9495,1.6500,1.7509
60,1.0178,0.0000,-0.0478,1.9553,1.6500,1.6356,1.0001,0.0000,0.3252,1.9500,1.6500,1.7476
61,1.0089,0.0000,-0.0636,1.9527,1.6500,1.6309,1.0147,0.0000,0.3499,1.9544,1.6500,1.7550
62,1.0177,0.0000,-0.0740,1.9553,1.6500,1.6278,1.0007,0.0000,0.3526,1.9502,1.6500,1.7558
63,1.0091,0.0000,-0.0699,1.9527,1.6500,1.6290,1.0161,0.0000,0.3500,1.9548,1.6500,1.7550
64,0.9820,0.0000,-0.0564,1.9446,1.6500,1.6331,1.0089,0.0000,0.3384,1.9527,1.6500,1.7515
65,0.9988,0.0000,-0.0581,1.9496,1.6500,1.6326,1.0175,0.0000,0.3356,1.9553,1.6500,1.7507
66,1.0160,0.0000,-0.0553,1.9548,1.6500,1.6334,0.9981,0.0000,0.3277,1.9494,1.6500,1.7483
67,0.9977,0.0000,-0.0716,1.9493,1.6500,1.6285,1.0099,0.0000,0.3493,1.9530,1.6500,1.7548
68,0.9882,0.0000,-0.0456,1.9465,1.6500,1.6363,1.0158,0.0000,0.3548,1.9547,1.6500,1.7565
69,0.9973,0.0000,-0.0588,1.9492,1.6500,1.6324,1.0113,0.0000,0.3579,1.9534,1.6500,1.7574
70,1.0137,0.0000,-0.0489,1.9541,1.6500,1.6353,0.9931,0.0000,0.3555,1.9479,1.6500,1.7566
71,1.0111,0.0000,-0.0550,1.9533,1.6500,1.6335,1.0142,0.0000,0.3533,1.9542,1.6500,1.7560
72,0.9988,0.0000,-0.0670,1.9496,1.6500,1.6299,1.0100,0.0000,0.3482,1.9530,1.6500,1.7544
73,0.9959,0.0000,-0.0675,1.9488,1.6500,1.6297,1.0116,0.0000,0.3579,1.9535,1.6500,1.7574
74,1.0151,0.0000,-0.0766,1.9545,1.6500,1.6270,0.9899,0.0000,0.3246,1.9470,1.6500,1.7474
75,0.9937,0.0000,-0.0522,1.9481,1.6500,1.6344,1.0122,0.0000,0.3488,1.9536,1.6500,1.7547
76,1.0095,0.0000,-0.0463,1.9528,1.6500,1.6361,0.9914,0.0000,0.3547,1.9474,1.6500,1.7564
77,1.0010,0.0000,-0.0531,1.9503,1.6500,1.6341,0.9857,0.0000,0.3312,1.9457,1.6500,1.7493
78,0.9993,0.0000,-0.0656,1.9498,1.6500,1.6303,1.0092,0.0000,0.3516,1.9528,1.6500,1.7555
79,1.0065,0.0000,-0.0771,1.9519,1.6500,1.6269,0.9941,0.0000,0.3220,1.9482,1.6500,1.7466
80,0.9901,0.0000,-0.0710,1.9470,1.6500,1.6287,1.0027,0.0000,0.3423,1.9508,1.6500,1.7527
81,1.0176,0.0000,-0.0424,1.9553,1.6500,1.6373,1.0083,0.0000,0.3385,1.9525,1.6500,1.7516
82,0.9870,0.0000,-0.0582,1.9461,1.6500,1.6325,0.9833,0.0000,0.3500,1.9450,1.6500,1.7550
83,0.9882,0.0000,-0.0608,1.9465,1.6500,1.6318,0.9982,0.0000,0.3346,1.9494,1.6500,1.7504
84,1.0148,0.0000,-0.0611,1.9544,1.6500,1.6317,0.9995,0.0000,0.3486,1.9498,1.6500,1.7546
85,0.9952,0.0000,-0.0739,1.9486,1.6500,1.6278,0.9947,0.0000,0.3450,1.9484,1.6500,1.7535
86,0.9820,0.0000,-0.0733,1.9446,1.6500,1.6280,0.9999,0.0000,0.3289,1.9500,1.6500,1.7487
87,0.9999,0.0000,-0.0542,1.9500,1.6500,1.6338,0.9852,0.0000,0.3243,1.9456,1.6500,1.7473
88,1.0169,0.0000,-0.0660,1.9551,1.6500,1.6302,0.9882,0.0000,0.3464,1.9465,1.6500,1.7539
89,1.0003,0.0000,-0.0660,1.9501,1.6500,1.6302,0.9907,0.0000,0.3432,1.9472,1.6500,1.7529
90,1.0164,0.0000,-0.0561,1.9549,1.6500,1.6332,0.9887,0.0000,0.3377,1.9466,1.6500,1.7513
91,0.9983,0.0000,-0.0592,1.9495,1.6500,1.6322,1.0077,0.0000,0.3562,1.9523,1.6500,1.7569
92,0.9942,0.0000,-0.0718,1.9482,1.6500,1.6284,0.9853,0.0000,0.3265,1.9456,1.6500,1.7479
93,0.9938,0.0000,-0.0589,1.9481,1.6500,1.6323,1.0112,0.0000,0.3308,1.9534,1.6500,1.7492
94,0.9910,0.0000,-0.0613,1.9473,1.6500,1.6316,1.0153,0.0000,0.3248,1.9546,1.6500,1.7474
95,0.9836,0.0000,-0.0466,1.9451,1.6500,1.6360,1.0145,0.0000,0.3238,1.9543,1.6500,1.7472
96,1.0042,0.0000,-0.0702,1.9513,1.6500,1.6290,0.9824,0.0000,0.3241,1.9447,1.6500,1.7472
97,1.0070,0.0000,-0.0421,1.9521,1.6500,1.6374,1.0141,0.0000,0.3353,1.9542,1.6500,1.7506
98,1.0178,0.0000,-0.0463,1.9553,1.6500,1.6361,0.9856,0.0000,0.3517,1.9457,1.6500,1.7555
99,0.9960,0.0000,-0.0485,1.9488,1.6500,1.6355,1.0168,0.0000,0.3406,1.9550,1.6500,1.7522
100,1.0085,0.0000,-0.0637,1.9525,1.6500,1.6309,1.0174,0.0000,0.3363,1.9552,1.6500,1.7509
101,0.9944,0.0000,-0.0423,1.9483,1.6500,1.6373,0.9875,0.0000,0.3571,1.9462,1.6500,1.7571
102,1.0148,0.0000,-0.0732,1.9545,1.6500,1.6280,0.9832,0.0000,0.3534,1.9449,1.6500,1.7560
103,1.0058,0.0000,-0.0746,1.9517,1.6500,1.6276,1.0120,0.0000,0.3556,1.9536,1.6500,1.7567
104,1.0040,0.0000,-0.0579,1.9512,1.6500,1.6326,0.9828,0.0000,0.3404,1.9448,1.6500,1.7521
105,0.9904,0.0000,-0.0584,1.9471,1.6500,1.6325,1.0089,0.0000,0.3231,1.9527,1.6500,1.7469
106,1.0017,0.0000,-0.0747,1.9505,1.6500,1.6276,0.9845,0.0000,0.3338,1.9453,1.6500,1.7501
107,1.0081,0.0000,-0.0732,1.9524,1.6500,1.6280,1.0166,0.0000,0.3343,1.9550,1.6500,1.7503
108,1.0005,0.0000,-0.0680,1.9502,1.6500,1.6296,1.0175,0.0000,0.3252,1.9552,1.6500,1.7475
109,1.0124,0.0000,-0.0508,1.9537,1.6500,1.6348,1.0062,0.0000,0.3448,1.9519,1.6500,1.7534
110,0.9880,0.0000,-0.0591,1.9464,1.6500,1.6323,1.0119,0.0000,0.3490,1.9536,1.6500,1.7547
111,0.9838,0.0000,-0.0545,1.9451,1.6500,1.6337,0.9982,0.0000,0.3456,1.9495,1.6500,1.7537
112,0.9884,0.0000,-0.0683,1.9465,1.6500,1.6295,1.0163,0.0000,0.3401,1.9549,1.6500,1.7520
113,1.0048,0.0000,-0.0542,1.9514,1.6500,1.6337,1.0145,0.0000,0.3476,1.9543,1.6500,1.7543
114,1.0157,0.0000,-0.0465,1.9547,1.6500,1.6361,1.0152,0.0000,0.3433,1.9546,1.6500,1.7530
115,1.0116,0.0000,-0.0506,1.9535,1.6500,1.6348,1.0161,0.0000,0.3413,1.9548,1.6500,1.7524
116,1.0159,0.0000,-0.0737,1.9548,1.6500,1.6279,1.0133,0.0000,0.3384,1.9540,1.6500,1.7515
117,1.0070,0.0000,-0.0779,1.9521,1.6500,1.6266,1.0165,0.0000,0.3569,1.9549,1.6500,1.7571
118,1.0076,0.0000,-0.0470,1.9523,1.6500,1.6359,1.0090,0.0000,0.3333,1.9527,1.6500,1.7500
119,0.9888,0.0000,-0.0532,1.9466,1.6500,1.6340,1.0048,0.0000,0.3454,1.9514,1.6500,1.7536
120,0.9840,0.0000,-0.0655,1.9452,1.6500,1.6303,0.9991,0.0000,0.3342,1.9497,1.6500,1.7503
121,0.9998,0.0000,-0.0711,1.9499,1.6500,1.6287,1.0124,0.0000,0.3256,1.9537,1.6500,1.7477
122,0.9958,0.0000,-0.0708,1.9487,1.6500,1.6288,0.9874,0.0000,0.3506,1.9462,1.6500,1.7552
123,0.9983,0.0000,-0.0732,1.9495,1.6500,1.6280,0.9917,0.0000,0.3222,1.9475,1.6500,1.7467
124,0.9888,0.0000,-0.0644,1.9466,1.6500,1.6307,1.0168,0.0000,0.3326,1.9550,1.6500,1.7498
125,0.9820,0.0000,-0.0430,1.9446,1.6500,1.6371,0.9939,0.0000,0.3515,1.9482,1.6500,1.7554
126,1.0079,0.0000,-0.0505,1.9524,1.6500,1.6348,0.9940,0.0000,0.3325,1.9482,1.6500,1.7497
127,0.9916,0.0000,-0.0429,1.9475,1.6500,1.6371,0.9897,0.0000,0.3430,1.9469,1.6500,1.7529
128,1.0169,0.0000,-0.0561,1.9551,1.6500,1.6332,0.9830,0.0000,0.3226,1.9449,1.6500,1.7468
129,0.9848,0.0000,-0.0586,1.9454,1.6500,1.6324,1.0017,0.0000,0.3244,1.9505,1.6500,1.7473
130,0.9878,0.0000,-0.0723,1.9463,1.6500,1.6283,1.0075,0.0000,0.3319,1.9523,1.6500,1.7496
131,0.9861,0.0000,-0.0610,1.9458,1.6500,1.6317,1.0113,0.0000,0.3222,1.9534,1.6500,1.7467
132,1.0117,0.0000,-0.0512,1.9535,1.6500,1.6346,1.0019,0.0000,0.3507,1.9506,1.6500,1.7552
133,0.9968,0.0000,-0.0746,1.9490,1.6500,1.6276,1.0083,0.0000,0.3488,1.9525,1.6500,1.7546
134,0.9938,0.0000,-0.0435,1.9481,1.6500,1.6369,1.0163,0.0000,0.3291,1.9549,1.6500,1.7487
135,1.0105,0.0000,-0.0641,1.9532,1.6500,1.6308,0.9852,0.0000,0.3338,1.9456,1.6500,1.7501
136,0.9983,0.0000,-0.0639,1.9495,1.6500,1.6308,0.9905,0.0000,0.3393,1.9472,1.6500,1.7518
137,0.9858,0.0000,-0.0654,1.9457,1.6500,1.6304,0.9993,0.0000,0.3350,1.9498,1.6500,1.7505
138,0.9830,0.0000,-0.0699,1.9449,1.6500,1.6290,1.0113,0.0000,0.3351,1.9534,1.6500,1.7505
139,0.9854,0.0000,-0.0727,1.9456,1.6500,1.6282,0.9885,0.0000,0.3375,1.9466,1.6500,1.7512
140,0.9898,0.0000,-0.0543,1.9469,1.6500,1.6337,0.9985,0.0000,0.3285,1.9496,1.6500,1.7486
141,1.0104,0.0000,-0.0765,1.9531,1.6500,1.6270,1.0130,0.0000,0.3334,1.9539,1.6500,1.7500
142,0.9855,0.0000,-0.0587,1.9457,1.6500,1.6324,0.9826,0.0000,0.3513,1.9448,1.6500,1.7554
143,0.9893,0.0000,-0.0506,1.9468,1.6500,1.6348,0.9990,0.0000,0.3282,1.9497,1.6500,1.7485
144,0.9918,0.0000,-0.0741,1.9475,1.6500,1.6278,1.0025,0.0000,0.3337,1.9508,1.6500,1.7501
145,1.0110,0.0000,-0.0464,1.9533,1.6500,1.6361,1.0075,0.0000,0.3480,1.9522,1.6500,1.7544
146,0.9982,0.0000,-0.0626,1.9495,1.6500,1.6312,1.0035,0.0000,0.3479,1.9510,1.6500,1.7544
147,0.9887,0.0000,-0.0622,1.9466,1.6500,1.6313,0.9899,0.0000,0.3313,1.9470,1.6500,1.7494
148,0.9881,0.0000,-0.0543,1.9464,1.6500,1.6337,1.0091,0.0000,0.3535,1.9527,1.6500,1.7560
149,0.9954,0.0000,-0.0532,1.9486,1.6500,1.6340,1.0156,0.0000,0.3297,1.9547,1.6500,1.7489
150,1.0084,0.0000,-0.0492,1.9525,1.6500,1.6352,1.0070,0.0000,0.3294,1.9521,1.6500,1.7488
151,1.0148,0.0000,-0.0506,1.9544,1.6500,1.6348,0.9933,0.0000,0.3566,1.9480,1.6500,1.7570
152,0.9883,0.0000,-0.0605,1.9465,1.6500,1.6318,0.9922,0.0000,0.3335,1.9477,1.6500,1.7500
153,0.9889,0.0000,-0.0536,1.9467,1.6500,1.6339,0.9962,0.0000,0.3333,1.9489,1.6500,1.7500
154,1.0114,0.0000,-0.0458,1.9534,1.6500,1.6363,1.0034,0.0000,0.3251,1.9510,1.6500,1.7475
155,1.0140,0.0000,-0.0616,1.9542,1.6500,1.6315,0.9989,0.0000,0.3329,1.9497,1.6500,1.7499
156,1.0153,0.0000,-0.0780,1.9546,1.6500,1.6266,0.9989,0.0000,0.3492,1.9497,1.6500,1.7548
157,0.9827,0.0000,-0.0438,1.9448,1.6500,1.6369,0.9881,0.0000,0.3457,1.9464,1.6500,1.7537
158,0.9823,0.0000,-0.0573,1.9447,1.6500,1.6328,1.0132,0.0000,0.3447,1.9540,1.6500,1.7534
159,0.9830,0.0000,-0.0595,1.9449,1.6500,1.6322,0.9847,0.0000,0.3441,1.9454,1.6500,1.7532
160,0.9989,0.0000,-0.0661,1.9497,1.6500,1.6302,0.9895,0.0000,0.3330,1.9468,1.6500,1.7499
161,1.0171,0.0000,-0.0555,1.9551,1.6500,1.6334,1.0101,0.0000,0.3322,1.9530,1.6500,1.7496
162,1.0123,0.0000,-0.0485,1.9537,1.6500,1.6354,1.0063,0.0000,0.3394,1.9519,1.6500,1.7518
163,0.9854,0.0000,-0.0599,1.9456,1.6500,1.6320,0.9872,0.0000,0.3228,1.9462,1.6500,1.7468
164,1.0045,0.0000,-0.0635,1.9514,1.6500,1.6310,1.0012,0.0000,0.3393,1.9504,1.6500,1.7518
165,0.9891,0.0000,-0.0533,1.9467,1.6500,1.6340,0.9961,0.0000,0.3249,1.9488,1.6500,1.7475
166,1.0105,0.0000,-0.0450,1.9532,1.6500,1.6365,1.0038,0.0000,0.3274,1.9511,1.6500,1.7482
167,1.0138,0.0000,-0.0446,1.9541,1.6500,1.6366,0.9923,0.0000,0.3544,1.9477,1.6500,1.7563
168,0.9903,0.0000,-0.0678,1.9471,1.6500,1.6297,0.9873,0.0000,0.3364,1.9462,1.6500,1.7509
169,1.0067,0.0000,-0.0712,1.9520,1.6500,1.6287,1.0126,0.0000,0.3564,1.9538,1.6500,1.7569
170,0.9834,0.0000,-0.0618,1.9450,1.6500,1.6315,0.9881,0.0000,0.3413,1.9464,1.6500,1.7524
171,1.0053,0.0000,-0.0470,1.9516,1.6500,1.6359,0.9858,0.0000,0.3325,1.9457,1.6500,1.7498
172,0.9976,0.0000,-0.0770,1.9493,1.6500,1.6269,0.9848,0.0000,0.3252,1.9454,1.6500,1.7476
173,1.0149,0.0000,-0.0488,1.9545,1.6500,1.6353,1.0036,0.0000,0.3545,1.9511,1.6500,1.7563
174,1.0013,0.0000,-0.0745,1.9504,1.6500,1.6277,1.0129,0.0000,0.3374,1.9539,1.6500,1.7512
175,1.0076,0.0000,-0.0739,1.9523,1.6500,1.6278,1.0057,0.0000,0.3232,1.9517,1.6500,1.7470
176,1.0165,0.0000,-0.0458,1.9549,1.6500,1.6363,0.9952,0.0000,0.3331,1.9486,1.6500,1.7499
177,1.0142,0.0000,-0.0536,1.9543,1.6500,1.6339,1.0122,0.0000,0.3423,1.9536,1.6500,1.7527
178,1.0046,0.0000,-0.0727,1.9514,1.6500,1.6282,0.9967,0.0000,0.3450,1.9490,1.6500,1.7535
179,0.9961,0.0000,-0.0445,1.9488,1.6500,1.6366,1.0144,0.0000,0.3301,1.9543,1.6500,1.7490
180,1.0050,0.0000,-0.0514,1.9515,1.6500,1.6346,0.9874,0.0000,0.3436,1.9462,1.6500,1.7531
181,1.0134,0.0000,-0.0723,1.9540,1.6500,1.6283,0.9856,0.0000,0.3262,1.9457,1.6500,1.7479
182,0.9959,0.0000,-0.0619,1.9488,1.6500,1.6314,1.0104,0.0000,0.3534,1.9531,1.6500,1.7560
183,0.9957,0.0000,-0.0505,1.9487,1.6500,1.6349,1.0019,0.0000,0.3280,1.9506,1.6500,1.7484
184,0.9963,0.0000,-0.0526,1.9489,1.6500,1.6342,0.9983,0.0000,0.3302,1.9495,1.6500,1.7491
185,1.0123,0.0000,-0.0726,1.9537,1.6500,1.6282,1.0133,0.0000,0.3580,1.9540,1.6500,1.7574
186,1.0124,0.0000,-0.0664,1.9537,1.6500,1.6301,0.9907,0.0000,0.3417,1.9472,1.6500,1.7525
187,0.9909,0.0000,-0.0652,1.9473,1.6500,1.6304,1.0172,0.0000,0.3385,1.9552,1.6500,1.7515
188,1.0128,0.0000,-0.0598,1.9538,1.6500,1.6321,0.9975,0.0000,0.3244,1.9493,1.6500,1.7473
189,0.9870,0.0000,-0.0485,1.9461,1.6500,1.6354,1.0131,0.0000,0.3503,1.9539,1.6500,1.7551
190,1.0174,0.0000,-0.0511,1.9552,1.6500,1.6347,1.0030,0.0000,0.3532,1.9509,1.6500,1.7560
191,1.0054,0.0000,-0.0670,1.9516,1.6500,1.6299,0.9829,0.0000,0.3372,1.9449,1.6500,1.7512
192,1.0085,0.0000,-0.0673,1.9526,1.6500,1.6298,0.9876,0.0000,0.3435,1.9463,1.6500,1.7530
193,1.0046,0.0000,-0.0704,1.9514,1.6500,1.6289,0.9820,0.0000,0.3355,1.9446,1.6500,1.7507
194,0.9850,0.0000,-0.0674,1.9455,1.6500,1.6298,1.0126,0.0000,0.3311,1.9538,1.6500,1.7493
195,0.9971,0.0000,-0.0583,1.9491,1.6500,1.6325,1.0028,0.0000,0.3564,1.9508,1.6500,1.7569
196,0.9934,0.0000,-0.0481,1.9480,1.6500,1.6356,1.0112,0.0000,0.3461,1.9534,1.6500,1.7538
197,0.9926,0.0000,-0.0442,1.9478,1.6500,1.6367,0.9922,0.0000,0.3259,1.9477,1.6500,1.7478
198,1.0010,0.0000,-0.0658,1.9503,1.6500,1.6302,1.0084,0.0000,0.3565,1.9525,1.6500,1.7570
199,0.9934,0.0000,-0.0463,1.9480,1.6500,1.6361,1.0155,0.0000,0.3475,1.9547,1.6500,1.7543
200,0.9909,0.0000,-0.0557,1.9473,1.6500,1.6333,0.9860,0.0000,0.3511,1.9458,1.6500,1.7553
201,1.0000,0.0000,-0.0764,1.9500,1.6500,1.6271,1.0041,0.0000,0.3432,1.9512,1.6500,1.7529
202,1.0031,0.0000,-0.0756,1.9509,1.6500,1.6273,1.0031,0.0000,0.3332,1.9509,1.6500,1.7500
203,0.9885,0.0000,-0.0486,1.9466,1.6500,1.6354,0.9951,0.0000,0.3329,1.9485,1.6500,1.7499
204,1.0122,0.0000,-0.0646,1.9537,1.6500,1.6306,0.9908,0.0000,0.3524,1.9472,1.6500,1.7557
205,0.9897,0.0000,-0.0729,1.9469,1.6500,1.6281,0.9958,0.0000,0.3541,1.9487,1.6500,1.7562
206,0.9973,0.0000,-0.0654,1.9492,1.6500,1.6304,1.0033,0.0000,0.3514,1.9510,1.6500,1.7554
207,1.0000,0.0000,-0.0712,1.9500,1.6500,1.6287,1.0063,0.0000,0.3560,1.9519,1.6500,1.7568
208,0.9967,0.0000,-0.0664,1.9490,1.6500,1.6301,0.9985,0.0000,0.3305,1.9496,1.6500,1.7492
209,0.9980,0.0000,-0.0553,1.9494,1.6500,1.6334,0.9992,0.0000,0.3314,1.9497,1.6500,1.7494
210,0.9990,0.0000,-0.0768,1.9497,1.6500,1.6269,0.9921,0.0000,0.3540,1.9476,1.6500,1.7562
211,1.0180,0.0000,-0.0572,1.9554,1.6500,1.6329,1.0080,0.0000,0.3517,1.9524,1.6500,1.7555
212,1.0170,0.0000,-0.0580,1.9551,1.6500,1.6326,1.0155,0.0000,0.3521,1.9546,1.6500,1.7556
213,0.9985,0.0000,-0.0422,1.9495,1.6500,1.6373,0.9827,0.0000,0.3367,1.9448,1.6500,1.7510
214,1.0002,0.0000,-0.0750,1.9501,1.6500,1.6275,0.9927,0.0000,0.3520,1.9478,1.6500,1.7556
215,1.0179,0.0000,-0.0768,1.9554,1.6500,1.6270,1.0102,0.0000,0.3285,1.9531,1.6500,1.7485
216,0.9928,0.0000,-0.0516,1.9478,1.6500,1.6345,1.0113,0.0000,0.3536,1.9534,1.6500,1.7561
217,1.0120,0.0000,-0.0685,1.9536,1.6500,1.6294,0.9910,0.0000,0.3476,1.9473,1.6500,1.7543
218,0.9948,0.0000,-0.0512,1.9484,1.6500,1.6346,0.9825,0.0000,0.3537,1.9447,1.6500,1.7561
